Date,Day,Month,Quarter,Year,Open,High,Low,Close,Adj Close,Volume
9/30/2022,Friday,September,Q3,2022,65.949997,67.199997,65.5,66.949997,64.912979,16041026
9/29/2022,Thursday,September,Q3,2022,66.099998,67.300003,65.199997,65.900002,63.894932,24560255
9/28/2022,Wednesday,September,Q3,2022,66.400002,66.400002,65.550003,65.75,63.749493,15974881
9/27/2022,Tuesday,September,Q3,2022,66.400002,67.099998,66.099998,66.75,64.71907,14140070
9/26/2022,Monday,September,Q3,2022,67.199997,67.400002,65.900002,66.050003,64.040367,19194238
9/23/2022,Friday,September,Q3,2022,67.800003,67.949997,67.199997,67.449997,65.397766,13578280
9/22/2022,Thursday,September,Q3,2022,68.199997,68.25,67.5,67.800003,65.737122,15775504
9/21/2022,Wednesday,September,Q3,2022,69.300003,69.300003,68.199997,68.449997,66.36734,24710729
9/20/2022,Tuesday,September,Q3,2022,70,70.150002,69.050003,69.099998,66.997566,20693245
9/19/2022,Monday,September,Q3,2022,70.25,70.400002,69.599998,69.650002,67.53083,13595148
9/16/2022,Friday,September,Q3,2022,71.550003,71.699997,69.5,69.949997,67.821701,25993505
9/15/2022,Thursday,September,Q3,2022,72,72.199997,71.300003,71.550003,69.373024,9985561
9/14/2022,Wednesday,September,Q3,2022,71.949997,72.25,71.599998,71.800003,69.615417,9024753
9/13/2022,Tuesday,September,Q3,2022,73.050003,73.099998,72,72.25,70.051727,11555561
09-12-2022,Monday,September,Q3,2022,72.849998,72.949997,71.949997,72.650002,70.439552,21463828
09-09-2022,Friday,September,Q3,2022,73.300003,73.400002,72.349998,72.550003,70.342598,9906299
09-08-2022,Thursday,September,Q3,2022,71.900002,73.75,71.800003,73.050003,70.827385,24401527
09-07-2022,Wednesday,September,Q3,2022,70.800003,71.550003,70.699997,71.400002,69.227585,19254652
09-06-2022,Tuesday,September,Q3,2022,71.150002,71.199997,70.599998,70.699997,68.548882,10545363
09-05-2022,Monday,September,Q3,2022,71.5,71.650002,70.849998,70.949997,68.791275,11658725
09-02-2022,Friday,September,Q3,2022,71.449997,71.550003,70.849998,71.300003,69.13063,13349456
09-01-2022,Thursday,September,Q3,2022,71,71.5,70.800003,71.150002,68.985191,17854146
8/30/2022,Tuesday,August,Q3,2022,71.449997,71.849998,71.349998,71.5,69.324547,14284488
8/29/2022,Monday,August,Q3,2022,71.150002,71.449997,70.349998,71.050003,68.888237,14387511
8/26/2022,Friday,August,Q3,2022,71.849998,72.300003,71.699997,71.900002,69.712372,10546886
8/25/2022,Thursday,August,Q3,2022,70.900002,71.949997,70.800003,71.449997,69.276062,13090152
8/24/2022,Wednesday,August,Q3,2022,71.25,71.449997,70.25,70.550003,68.40345,19584234
8/23/2022,Tuesday,August,Q3,2022,70.800003,71.599998,70.75,71.050003,68.888237,11581331
8/22/2022,Monday,August,Q3,2022,72.099998,72.150002,70.900002,71.300003,69.13063,13714233
8/19/2022,Friday,August,Q3,2022,72.650002,72.75,71.800003,72.150002,69.954765,13357442
8/18/2022,Thursday,August,Q3,2022,73.5,73.650002,72.449997,72.650002,70.439552,18850835
8/17/2022,Wednesday,August,Q3,2022,73.300003,73.800003,73.199997,73.349998,71.118256,18542371
8/16/2022,Tuesday,August,Q3,2022,71.75,73.25,71.25,73.150002,70.924339,26772067
08-12-2022,Friday,August,Q3,2022,70.949997,71.699997,70.800003,71.550003,69.373024,12294928
08-11-2022,Thursday,August,Q3,2022,71.349998,71.349998,70.599998,70.949997,68.791275,16670568
08-10-2022,Wednesday,August,Q3,2022,73.650002,73.699997,72.400002,72.5,67.96714,29085499
08-08-2022,Monday,August,Q3,2022,73.099998,73.75,72.400002,73.349998,68.763992,16091607
08-05-2022,Friday,August,Q3,2022,71.449997,73.300003,70.900002,73.099998,68.529625,48935830
08-04-2022,Thursday,August,Q3,2022,71.5,71.599998,70.550003,71.199997,66.748413,25024630
08-03-2022,Wednesday,August,Q3,2022,72.300003,72.400002,70.75,71,66.560928,18893830
08-02-2022,Tuesday,August,Q3,2022,71.400002,72.099998,71.25,71.949997,67.451523,15655719
08-01-2022,Monday,August,Q3,2022,72.5,72.5,70.800003,71.099998,66.654671,30168751
7/29/2022,Friday,July,Q3,2022,72.5,73.25,72.25,72.949997,68.389,16983013
7/28/2022,Thursday,July,Q3,2022,72.050003,72.650002,71.900002,72.050003,67.545273,11715079
7/27/2022,Wednesday,July,Q3,2022,71.75,72.300003,71.400002,72.099998,67.592148,8726504
7/26/2022,Tuesday,July,Q3,2022,72.099998,72.150002,71.449997,71.650002,67.17028,8202210
7/25/2022,Monday,July,Q3,2022,72.199997,72.349998,71.25,72.099998,67.592148,10124538
7/22/2022,Friday,July,Q3,2022,72.900002,72.949997,72,72.150002,67.639023,8740051
7/21/2022,Thursday,July,Q3,2022,72.349998,72.75,71.349998,72.550003,68.014015,9537111
7/20/2022,Wednesday,July,Q3,2022,73,73.099998,72.199997,72.349998,67.826515,10590222
7/19/2022,Tuesday,July,Q3,2022,71.25,72.150002,71,72,67.498405,7585011
7/18/2022,Monday,July,Q3,2022,70.699997,71.25,70.349998,71.150002,66.701546,6697658
7/15/2022,Friday,July,Q3,2022,70.699997,71.099998,70,70.349998,65.951561,7310057
